type,version,n_threads,n_blocks,N,D,K,m,max_iter,tol,seed,T_cpu,T_gpu,J_cpu,J_gpu,diff_rel,speedup
GPU,NORMAL,128,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2855.26,0.000000,148647.613813,inf,0.00
GPU,NORMAL,128,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2449.40,0.000000,148648.801175,inf,0.00
GPU,SHARED,128,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2887.99,0.000000,148643.074006,inf,0.00
GPU,NORMAL,128,0,100000,41,23,23,2.00,100,0.0001,42,0.00,1507.91,0.000000,148643.093947,inf,0.00
GPU,NORMAL,256,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2979.79,0.000000,148647.335898,inf,0.00
GPU,NORMAL,256,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2527.00,0.000000,148647.651761,inf,0.00
GPU,SHARED,256,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2912.96,0.000000,148643.064873,inf,0.00
GPU,NORMAL,256,0,100000,41,23,23,2.00,100,0.0001,42,0.00,1560.21,0.000000,148643.054072,inf,0.00
GPU,NORMAL,512,0,100000,41,23,23,2.00,100,0.0001,42,0.00,3291.66,0.000000,148646.249270,inf,0.00
GPU,NORMAL,512,0,100000,41,23,23,2.00,100,0.0001,42,0.00,2975.98,0.000000,148647.547176,inf,0.00
GPU,SHARED,512,0,100000,41,23,23,2.00,100,0.0001,42,0.00,3036.22,0.000000,148643.011766,inf,0.00
GPU,NORMAL,512,0,100000,41,23,23,2.00,100,0.0001,42,0.00,1668.10,0.000000,148643.015870,inf,0.00
GPU,NORMAL,1024,0,100000,41,23,23,2.00,100,0.0001,42,0.00,5517.71,0.000000,148646.030551,inf,0.00
GPU,NORMAL,1024,0,100000,41,23,23,2.00,100,0.0001,42,0.00,4660.21,0.000000,148645.575925,inf,0.00
GPU,SHARED,1024,0,100000,41,23,23,2.00,100,0.0001,42,0.00,30.11,0.000000,214535.887322,inf,0.00
GPU,NORMAL,1024,0,100000,41,23,23,2.00,100,0.0001,42,0.00,1866.02,0.000000,148642.970998,inf,0.00
GPU,NORMAL,128,0,250000,41,23,23,2.00,100,0.0001,42,0.00,6681.36,0.000000,388575.960320,inf,0.00
GPU,NORMAL,128,0,250000,41,23,23,2.00,100,0.0001,42,0.00,5201.46,0.000000,388575.832958,inf,0.00
GPU,SHARED,128,0,250000,41,23,23,2.00,100,0.0001,42,0.00,7159.41,0.000000,389062.101871,inf,0.00
GPU,NORMAL,128,0,250000,41,23,23,2.00,100,0.0001,42,0.00,4042.95,0.000000,389061.120501,inf,0.00
GPU,NORMAL,256,0,250000,41,23,23,2.00,100,0.0001,42,0.00,6999.79,0.000000,388575.483034,inf,0.00
GPU,NORMAL,256,0,250000,41,23,23,2.00,100,0.0001,42,0.00,5296.61,0.000000,388575.641406,inf,0.00
GPU,SHARED,256,0,250000,41,23,23,2.00,100,0.0001,42,0.00,7092.70,0.000000,389062.267225,inf,0.00
GPU,NORMAL,256,0,250000,41,23,23,2.00,100,0.0001,42,0.00,4162.95,0.000000,389063.066640,inf,0.00
GPU,NORMAL,512,0,250000,41,23,23,2.00,100,0.0001,42,0.00,7772.69,0.000000,388575.253963,inf,0.00
GPU,NORMAL,512,0,250000,41,23,23,2.00,100,0.0001,42,0.00,6079.66,0.000000,388576.135480,inf,0.00
GPU,SHARED,512,0,250000,41,23,23,2.00,100,0.0001,42,0.00,7529.43,0.000000,389063.275304,inf,0.00
GPU,NORMAL,512,0,250000,41,23,23,2.00,100,0.0001,42,0.00,4162.66,0.000000,389062.148812,inf,0.00
GPU,NORMAL,1024,0,250000,41,23,23,2.00,100,0.0001,42,0.00,11669.97,0.000000,388575.328066,inf,0.00
GPU,NORMAL,1024,0,250000,41,23,23,2.00,100,0.0001,42,0.00,8126.70,0.000000,388576.640135,inf,0.00
GPU,SHARED,1024,0,250000,41,23,23,2.00,100,0.0001,42,0.00,85.51,0.000000,551786.482300,inf,0.00
GPU,NORMAL,1024,0,250000,41,23,23,2.00,100,0.0001,42,0.00,4803.68,0.000000,389053.484885,inf,0.00
GPU,NORMAL,128,0,500000,41,23,23,2.00,100,0.0001,42,0.00,14186.42,0.000000,766696.875292,inf,0.00
GPU,NORMAL,128,0,500000,41,23,23,2.00,100,0.0001,42,0.00,10195.02,0.000000,766697.199297,inf,0.00
GPU,SHARED,128,0,500000,41,23,23,2.00,100,0.0001,42,0.00,16102.05,0.000000,763860.276437,inf,0.00
GPU,NORMAL,128,0,500000,41,23,23,2.00,100,0.0001,42,0.00,8432.93,0.000000,763860.269678,inf,0.00
GPU,NORMAL,256,0,500000,41,23,23,2.00,100,0.0001,42,0.00,14566.73,0.000000,766697.182121,inf,0.00
GPU,NORMAL,256,0,500000,41,23,23,2.00,100,0.0001,42,0.00,10277.80,0.000000,766694.744159,inf,0.00
GPU,SHARED,256,0,500000,41,23,23,2.00,100,0.0001,42,0.00,15579.13,0.000000,763860.015703,inf,0.00
GPU,NORMAL,256,0,500000,41,23,23,2.00,100,0.0001,42,0.00,8498.52,0.000000,763860.022206,inf,0.00
GPU,NORMAL,512,0,500000,41,23,23,2.00,100,0.0001,42,0.00,15316.96,0.000000,766699.644153,inf,0.00
GPU,NORMAL,512,0,500000,41,23,23,2.00,100,0.0001,42,0.00,11067.25,0.000000,766697.995325,inf,0.00
GPU,SHARED,512,0,500000,41,23,23,2.00,100,0.0001,42,0.00,15880.83,0.000000,763859.946107,inf,0.00
GPU,NORMAL,512,0,500000,41,23,23,2.00,100,0.0001,42,0.00,8647.41,0.000000,763859.940586,inf,0.00
GPU,NORMAL,1024,0,500000,41,23,23,2.00,100,0.0001,42,0.00,19969.51,0.000000,766699.698187,inf,0.00
GPU,NORMAL,1024,0,500000,41,23,23,2.00,100,0.0001,42,0.00,13965.05,0.000000,766700.345256,inf,0.00
GPU,SHARED,1024,0,500000,41,23,23,2.00,100,0.0001,42,0.00,177.84,0.000000,1162557.116150,inf,0.00
GPU,NORMAL,1024,0,500000,41,23,23,2.00,100,0.0001,42,0.00,9398.21,0.000000,763860.029330,inf,0.00
GPU,NORMAL,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,25365.57,0.000000,1285558.783560,inf,0.00
GPU,NORMAL,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,20825.34,0.000000,1274822.029165,inf,0.00
GPU,SHARED,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,32972.02,0.000000,1277751.133957,inf,0.00
GPU,NORMAL,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,17811.30,0.000000,1277751.396167,inf,0.00
GPU,NORMAL,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,27114.78,0.000000,1271859.605515,inf,0.00
GPU,NORMAL,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,19626.12,0.000000,1285558.800194,inf,0.00
GPU,SHARED,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,32249.14,0.000000,1277750.922464,inf,0.00
GPU,NORMAL,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,17671.43,0.000000,1277736.130327,inf,0.00
GPU,NORMAL,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,28522.77,0.000000,1274822.073713,inf,0.00
GPU,NORMAL,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,20299.47,0.000000,1285558.571534,inf,0.00
GPU,SHARED,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,31803.64,0.000000,1277751.092839,inf,0.00
GPU,NORMAL,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,17919.97,0.000000,1277751.082814,inf,0.00
GPU,NORMAL,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,35490.80,0.000000,1271859.221586,inf,0.00
GPU,NORMAL,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,24701.03,0.000000,1274821.950074,inf,0.00
GPU,SHARED,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,345.89,0.000000,2326914.530267,inf,0.00
GPU,NORMAL,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,18931.90,0.000000,1277747.107366,inf,0.00
